Body Name,Transaction Number,Account code Description,Expenses Type,Service Code,Service Area Categorisation,Supplier Name,Date,Amount
Bath & North East Somerset Council,10724640,LN4,Mobile Phones,P04,Leader,VODAFONE LIMITED,09/08/2013,1380
Bath & North East Somerset Council,10722783,HP8,Service Charges,P05,Neighbourhoods,JOHN LEWIS PARTNERSHIP,02/12/2013,16417.81
Bath & North East Somerset Council,10723695,KA1,Repairs & Maintenance,P05,Neighbourhoods,EUROMEC CONTRACTS LTD,02/01/2014,45
Bath & North East Somerset Council,10723627,LA5,Materials,P06,Sustainable Development,PACKAGING PEOPLE,02/01/2014,157.5
Bath & North East Somerset Council,10723695,KA1,Repairs & Maintenance,P05,Neighbourhoods,EUROMEC CONTRACTS LTD,02/01/2014,167.1
Bath & North East Somerset Council,10723695,KA1,Repairs & Maintenance,P05,Neighbourhoods,EUROMEC CONTRACTS LTD,02/01/2014,167.1
Bath & North East Somerset Council,10723695,KA1,Repairs & Maintenance,P05,Neighbourhoods,EUROMEC CONTRACTS LTD,02/01/2014,173.55
Bath & North East Somerset Council,10723695,KA1,Repairs & Maintenance,P05,Neighbourhoods,EUROMEC CONTRACTS LTD,02/01/2014,173.55
Bath & North East Somerset Council,10723683,7F1,Rent,,,CURO,02/01/2014,21962.65
Bath & North East Somerset Council,10723341,7F1,Rent,,,CURO,02/01/2014,28319.75
Bath & North East Somerset Council,10723700,3C4,Building Works,P09,Homes & Planning,CURO,02/01/2014,54991.61
Bath & North East Somerset Council,10723627,LA1,Equipment Purchase (Non Medical),P06,Sustainable Development,PACKAGING PEOPLE,02/01/2014,331
Bath & North East Somerset Council,10722580,EA1,Training,P05,Neighbourhoods,MATRIX VOCATIONAL ASSOCIATES LTD,02/01/2014,419.4
Bath & North East Somerset Council,10722968,LJ1,Consultants Fees,P09,Homes & Planning,ATKINS LIMITED,02/01/2014,423.45
Bath & North East Somerset Council,10723486,LH2,Advertising,P01,Transport,TMP (UK) LTD,02/01/2014,426.28
Bath & North East Somerset Council,10723557,LA1,Equipment Purchase (Non Medical),P03,Wellbeing,RADCLIFFE REHABILITATION SERVICES LTD,02/01/2014,430.5
Bath & North East Somerset Council,10723699,LH2,Advertising,P09,Homes & Planning,LOCAL WORLD LTD,02/01/2014,451.32
Bath & North East Somerset Council,10723558,LA1,Equipment Purchase (Non Medical),P03,Wellbeing,MANGAR INTERNATIONAL LTD,02/01/2014,453.21
Bath & North East Somerset Council,10723626,LW8,Conservation,P06,Sustainable Development,PRESERVATION EQUIPMENT LTD,02/01/2014,462.66
Bath & North East Somerset Council,10723292,HV4,Cleaning Materials,P06,Sustainable Development,AVANTI HYGIENE LTD,02/01/2014,468.16
Bath & North East Somerset Council,10722592,LN1,Telephones,P04,Leader,NIMANS,02/01/2014,472.15
Bath & North East Somerset Council,10723107,LJ1,Consultants Fees,P09,Homes & Planning,PLACE STUDIO LTD,02/01/2014,475
Bath & North East Somerset Council,10723001,LB3,PCB Rechargeable Subcontractors,P07,Community Resources,ATLAS HEATING (BRISTOL) LTD,02/01/2014,480
Bath & North East Somerset Council,10723393,HA3,Planned Maintenance,P09,Homes & Planning,ZENITH INTERNATIONAL LTD,02/01/2014,492
Bath & North East Somerset Council,10722213,LK1,Fees,P04,Leader,HOMEBASE LTD,02/01/2014,492.22
Bath & North East Somerset Council,10723587,LA1,Equipment Purchase (Non Medical),P03,Wellbeing,INVACARE (UK) LTD,02/01/2014,495
Bath & North East Somerset Council,10723666,LA1,Equipment Purchase (Non Medical),P03,Wellbeing,INVACARE (UK) LTD,02/01/2014,495
Bath & North East Somerset Council,10722348,LA5,Materials,P05,Neighbourhoods,ESSEX ENVIROMENTAL SUPPLIES LTD,02/01/2014,511.81
Bath & North East Somerset Council,10723469,HP6,Water Charges,P06,Sustainable Development,BWBSL,02/01/2014,530.27
Bath & North East Somerset Council,10723695,KA1,Repairs & Maintenance,P05,Neighbourhoods,EUROMEC CONTRACTS LTD,02/01/2014,571.3
Bath & North East Somerset Council,10723695,KA1,Repairs & Maintenance,P05,Neighbourhoods,EUROMEC CONTRACTS LTD,02/01/2014,571.3
Bath & North East Somerset Council,10722581,EA1,Training,P05,Neighbourhoods,MATRIX VOCATIONAL ASSOCIATES LTD,02/01/2014,574.4
Bath & North East Somerset Council,10723006,EA1,Training,P05,Neighbourhoods,NORTON RADSTOCK COLLEGE,02/01/2014,600
Bath & North East Somerset Council,10723039,EA1,Training,P03,Wellbeing,MRS D MARTIN,02/01/2014,602.7
Bath & North East Somerset Council,10723106,LJ1,Consultants Fees,P01,Transport,ACHIEVE BREAKTHROUGH LTD,02/01/2014,603.33
Bath & North East Somerset Council,10722670,LK1,Fees,P02,"Early Years, Children & Youth",BAAF PUBLICATIONS,02/01/2014,699
Bath & North East Somerset Council,10723461,HP6,Water Charges,P05,Neighbourhoods,BWBSL,02/01/2014,715.67
Bath & North East Somerset Council,10723009,LH2,Advertising,P01,Transport,TMP (UK) LTD,02/01/2014,728.06
Bath & North East Somerset Council,10723631,LH5,Marketing,P06,Sustainable Development,BATH TOURISM PLUS,02/01/2014,760
Bath & North East Somerset Council,10723644,LH5,Marketing,P06,Sustainable Development,BATH TOURISM PLUS,02/01/2014,760
Bath & North East Somerset Council,10723646,LH5,Marketing,P06,Sustainable Development,BATH TOURISM PLUS,02/01/2014,760
Bath & North East Somerset Council,10723547,LA1,Equipment Purchase (Non Medical),P03,Wellbeing,AQUAJOY BATHLIFTS,02/01/2014,783
Bath & North East Somerset Council,10722843,LA1,Equipment Purchase (Non Medical),P03,Wellbeing,INVACARE (UK) LTD,02/01/2014,845
Bath & North East Somerset Council,10723093,PB4,Payments to Private Contractors,P05,Neighbourhoods,SHIELD ENVIRONMENTAL SERVICES LTD,02/01/2014,873.5
Bath & North East Somerset Council,10723709,LA1,Equipment Purchase (Non Medical),P03,Wellbeing,TALLEY GROUP LIMITED,02/01/2014,875
Bath & North East Somerset Council,10723562,LJ2,Legal Fees,P05,Neighbourhoods,BEVAN BRITTAN,02/01/2014,900
Bath & North East Somerset Council,10723621,LV2,Contributions to Organisations,P03,Wellbeing,SIRONA CARE & HEALTH C.I.C.,02/01/2014,347917.17
Bath & North East Somerset Council,10723556,LA1,Equipment Purchase (Non Medical),P03,Wellbeing,INVACARE (UK) LTD,02/01/2014,957.6
Bath & North East Somerset Council,10722356,LJ4,Contracts,P03,Wellbeing,PCC FOR AVON AND SOMERSET,02/01/2014,975
Bath & North East Somerset Council,10723491,DB1,Agency Staff,P01,Transport,WATERMAN ASPEN,02/01/2014,1040
Bath & North East Somerset Council,10723549,DB1,Agency Staff,P01,Transport,C R DAWSON LTD,02/01/2014,1128.22
Bath & North East Somerset Council,10723492,DB1,Agency Staff,P01,Transport,WATERMAN ASPEN,02/01/2014,1143.73
Bath & North East Somerset Council,10723566,LK1,Fees,P05,Neighbourhoods,PERCY COMMUNITY  CENTRE,02/01/2014,1166.26
Bath & North East Somerset Council,10723487,LA3,Equipment Maintenance,P05,Neighbourhoods,ABW ENGINEERING SERVICES [SW] LTD,02/01/2014,1168.56
